yuzuk,orta,isaret,bas,serce,command
2821,3328,2766,2738,4094,2
2820,3328,2765,2729,4093,2
2821,3333,2765,2741,4093,2
2821,3332,2768,2741,4093,2
2821,3331,2784,2748,4095,2
2821,3331,2792,2742,4095,2
2821,3345,2785,2749,4094,2
2819,3326,2778,2746,4094,2
2821,3330,2780,2744,4094,2
2821,3325,2778,2741,4095,2
2819,3328,2782,2740,4094,2
3113,3487,3409,3301,3546,3
3113,3481,3403,3279,3522,3
3114,3484,3406,3274,3523,3
3115,3485,3407,3274,3520,3
3112,3483,3404,3273,3523,3
3115,3479,3407,3277,3523,3
3113,3482,3409,3281,3523,3
3114,3486,3408,3279,3523,3
3113,3484,3403,3289,3535,3
3111,3486,3402,3294,3533,3
3113,3483,3406,3289,3526,3
3111,3487,3418,3303,4092,3
3107,3484,3410,3292,3519,3
3107,3485,3428,3300,3518,3
3105,3484,3410,3291,3503,3
3103,3470,3389,3273,3493,3
3102,3492,3417,3298,3503,3
3104,3484,3401,3294,3504,3
3103,3481,3404,3291,3503,3
3103,3477,3402,3287,3503,3
3104,3469,3413,3297,3500,3
3101,3482,3398,3253,3482,3
3099,3483,3398,3274,3497,3
3099,3476,3390,3239,3493,3
3085,3476,3394,3205,3477,3
3071,3470,3413,3183,3461,3
3067,3464,3396,3173,3456,3
3051,3465,3376,3151,3441,3
3048,3451,3374,3150,3443,3
3046,3465,3369,3150,3439,3
3045,3454,3389,3148,3439,3
3043,3464,3375,3148,3439,3
3041,3462,3366,3141,3439,3
3043,3465,3371,3116,3437,3
3039,3471,3341,3108,3436,3
3039,3462,3365,3106,3439,3
3039,3463,3366,3115,3438,3
3035,3457,3347,3138,3441,3
3037,3452,3375,3146,3442,3
3066,3470,3385,3192,3471,3
3083,3471,3404,3215,3510,3
3099,3477,3405,3243,3546,3
3097,3471,3392,3273,3529,3
3091,3469,3384,3285,3529,3
3091,3481,3392,3291,3537,3
3099,3475,3396,3325,3547,3
3101,3473,3392,3338,3549,3
3099,3477,3399,3309,3546,3
3097,3477,3414,3320,3530,3
3097,3473,3393,3303,3532,3
3095,3481,3389,3276,3523,3
3092,3469,3386,3255,3533,3
3089,3474,3383,3211,3518,3
3089,3467,3381,3203,3510,3
3088,3464,3392,3198,3518,3
3080,3469,3390,3179,3519,3
3063,3466,3388,3163,3503,3
3045,3452,3370,3152,3497,3
3043,3453,3365,3198,3518,3
3043,3439,3359,3169,3497,3
3035,3448,3362,3159,3491,3
2989,3429,3348,3145,3481,3
2943,3416,3321,3133,3483,3
2944,3417,3319,3124,3497,3
2945,3417,3316,3110,3497,3
2947,3416,3315,3093,3494,3
2949,3438,3328,3094,3489,3
2951,3420,3311,3111,3494,3
2951,3420,3317,3121,3495,3
2952,3422,3337,3117,3495,3
2963,3426,3349,3157,3495,3
3013,3433,3378,3191,3529,3
3031,3438,3391,3218,3505,3
3023,3429,3371,3223,3536,3
2999,3424,3367,3248,3519,3
2979,3420,3353,3201,3511,3
